duration,max_ay,min_ay,range_ay,mean_ay,std_ay,gyro_var,label,set_id,rep_id,start_time,end_time
5.254995000000008,0.551,-1.16,1.7109999999999999,-0.6215190114068441,0.4447025863686617,1370.2840711099661,1,2,7,533.693656,538.948651
5.469291999999996,0.593,-1.169,1.762,-0.5509197080291971,0.47438690834452196,1349.0954610383712,1,2,8,538.95629,544.425582
7.626248000000032,0.773,-1.164,1.9369999999999998,-0.5390131061598952,0.4773748988599193,1050.630242753204,1,2,9,544.437131,552.063379
4.562619999999924,0.515,-1.121,1.6360000000000001,-0.6841663019693655,0.4677270411630282,1066.461624551451,0,3,0,794.854134,799.416754
6.4222200000000385,0.589,-1.666,2.255,-0.7837807153965785,0.4375839294405364,818.5580706989784,0,3,1,799.426971,805.849191
1.9776150000000143,0.606,-1.258,1.8639999999999999,-0.38658291457286437,0.5571105841071129,2910.9832454270345,0,3,2,805.854463,807.832078
3.86926399999993,0.63,-1.261,1.891,-0.6496520618556701,0.5128266673981744,1517.8549434296617,0,3,3,807.846483,811.715747
3.7858420000000024,0.649,-1.19,1.839,-0.6374947368421053,0.5173638467967192,1965.556987383345,0,3,4,811.729177,815.515019
3.790597000000048,0.739,-1.152,1.891,-0.6103763157894737,0.5449048231399346,1884.956100855367,0,3,5,815.525316,819.315913
4.3355320000000575,0.729,-1.151,1.88,-0.5659333333333333,0.5298915418557539,1410.2307138664767,0,3,6,819.329839,823.665371
3.752458000000047,0.713,-1.143,1.8559999999999999,-0.5888776595744681,0.5387475536113199,2004.6703001380715,0,3,7,823.674809,827.427267
4.909742000000051,0.698,-1.186,1.884,-0.5748252032520325,0.5057290418346964,1719.8151695705928,0,3,8,827.436739,832.346481
4.926084999999944,0.759,-1.212,1.971,-0.561742914979757,0.5194937280684283,1817.4538901293786,0,3,9,832.357556,837.283641
4.803271999999993,0.604,-1.157,1.7610000000000001,-0.5558794178794179,0.4954738822544885,1692.6116357428261,0,3,10,837.296023,842.099295
5.782269000000042,0.82,-1.217,2.037,-0.5112590673575129,0.5524763175160143,1600.8991088485482,0,3,11,842.10393,847.886199
5.769555000000082,0.803,-1.144,1.947,-0.5318858131487888,0.5234809006996809,1494.131122387163,1,3,12,847.896041,853.665596
6.422903000000019,0.765,-1.19,1.955,-0.527407465007776,0.5393132221132168,1441.697053363365,1,3,13,853.674368,860.097271
7.672057999999993,0.62,-1.189,1.8090000000000002,-0.5640520833333333,0.4712902694949894,1404.954618070631,1,3,14,860.103972,867.77603
4.440590999999813,0.416,-1.162,1.5779999999999998,-0.6869955056179774,0.4591150843241352,1606.1589102026714,0,4,0,1089.365457,1093.806048
2.015194000000065,0.444,-1.234,1.678,-0.4081773399014779,0.4974310438919214,2459.4862934248345,0,4,1,1093.819749,1095.834943
3.367424999999912,0.532,-1.237,1.7690000000000001,-0.6669082840236685,0.49700859634680117,2816.229623019607,0,4,2,1095.847972,1099.215397
4.551082999999835,0.504,-1.169,1.673,-0.7473552631578947,0.44541195313845694,1968.4087786455402,0,4,3,1099.224672,1103.775755
1.942698000000064,0.52,-1.211,1.731,-0.43530769230769234,0.5273377039842614,2736.7932734559895,0,4,4,1103.783853,1105.726551
3.092873999999938,0.591,-1.269,1.8599999999999999,-0.6148709677419354,0.5154908742307592,3536.82411708205,0,4,5,1105.735105,1108.827979
3.6210909999999785,0.679,-1.216,1.895,-0.6003526170798898,0.531615581364862,2162.707555609286,0,4,6,1108.833724,1112.454815
3.4480000000000928,0.61,-1.304,1.9140000000000001,-0.6118872832369942,0.5166736333163281,2451.28832714501,0,4,7,1112.467125,1115.915125
3.8619360000000142,0.838,-1.217,2.055,-0.5183229974160207,0.5757556109840755,2253.8886067106273,0,4,8,1115.924669,1119.786605
4.141947000000073,0.582,-1.207,1.7890000000000001,-0.5446192771084338,0.4915384205792072,1566.7287968576225,0,4,9,1119.796173,1123.93812
4.379325000000108,0.73,-1.363,2.093,-0.5833986332574033,0.4955027433366726,2073.7878272099565,0,4,10,1123.943959,1128.323284
4.7509959999999865,0.711,-1.23,1.9409999999999998,-0.5272436974789916,0.5042411965607508,1683.0707481091729,0,4,11,1128.335127,1133.086123
5.347259000000122,0.731,-1.162,1.8929999999999998,-0.5792462686567165,0.49133121312770245,2020.0112216985654,0,4,12,1133.096171,1138.44343
6.192564999999831,0.825,-1.178,2.003,-0.5166790322580646,0.5167618237288623,1439.253666581998,1,4,13,1138.454615,1144.64718
5.4478039999999055,0.804,-1.259,2.0629999999999997,-0.4833608058608059,0.5435854848530637,2351.341536331418,1,4,14,1144.658678,1150.106482
7.110359000000017,0.889,-1.263,2.152,-0.5311404494382022,0.5286455609861487,1465.2995379826232,1,4,15,1150.115771,1157.22613
3.0019509999999627,0.518,-1.195,1.713,-0.4534252491694352,0.5163235727600751,1540.5953947596165,0,5,0,1338.507724,1341.509675
4.7810870000000705,0.541,-1.197,1.738,-0.7245386221294364,0.44364768845655056,1383.1465118753229,0,5,1,1341.517062,1346.298149
1.8912149999998746,0.536,-1.212,1.748,-0.44828947368421057,0.5354759372398361,3661.7233273681163,0,5,2,1346.305513,1348.196728
3.244324000000006,0.495,-1.264,1.759,-0.6264246153846155,0.49353780746168047,2210.3064167968378,0,5,3,1348.205926,1351.45025
3.169503000000077,0.665,-1.385,2.05,-0.6681415094339622,0.45698036314717516,2195.1979033708317,0,5,4,1351.459286,1354.628789
3.3780859999999393,0.615,-1.256,1.871,-0.5971356932153393,0.5220386341734223,1809.8975415637346,0,5,5,1354.638962,1358.017048
3.674825999999939,0.91,-1.246,2.156,-0.49451630434782606,0.5924463695737571,1923.986307390706,0,5,6,1358.026466,1361.701292
4.5488410000000385,0.73,-1.278,2.008,-0.5372258771929824,0.5248346350565407,1147.3615667205245,0,5,7,1361.707035,1366.255876
4.5831490000000485,0.844,-1.242,2.086,-0.48998039215686273,0.5690345124014761,1289.30117580732,1,5,8,1366.262856,1370.846005
4.712019000000055,0.972,-1.236,2.208,-0.5080889830508474,0.5676907807869449,1680.2708459528872,1,5,9,1370.856227,1375.568246
6.098651999999902,0.711,-1.253,1.964,-0.5959803600654665,0.464622701698294,1132.2675160342385,1,5,10,1375.576718,1381.67537
4.022863000000143,0.784,-0.675,1.459,-0.1075086848635236,0.46705620173822915,2460.1043172818995,0,6,0,1559.1861,1563.208963
5.102386999999908,0.735,-0.717,1.452,-0.17459099804305286,0.4731386137126121,2099.7358203979534,0,6,1,1563.215239,1568.317626
3.5836810000000696,0.754,-0.679,1.433,-0.022041666666666654,0.4757855853889322,2915.786673589622,0,6,2,1568.329818,1571.913499
4.291621999999961,0.695,-0.666,1.361,-0.1105697674418605,0.47152550895749035,1855.0150750769928,0,6,3,1571.923955,1576.215577
4.314328999999816,0.744,-0.706,1.45,-0.04175462962962963,0.46558906334287153,2078.051984949583,0,6,4,1576.226857,1580.541186
6.4252080000001115,0.717,-0.654,1.371,-0.12124223602484471,0.48461263299116286,1330.396077032857,0,6,5,1580.551741,1586.976949
9.526233000000047,0.665,-0.68,1.3450000000000002,-0.2333700209643606,0.4299134479498074,778.0509299689447,0,6,6,1586.989185,1596.515418
6.568895999999995,0.765,-0.72,1.4849999999999999,-0.08781458966565349,0.44276700319518913,1242.0132730678138,1,6,7,1596.526552,1603.095448
7.907247999999981,0.651,-0.665,1.316,-0.10426010101010103,0.447200224657058,683.3702570106733,1,6,8,1603.110956,1611.018204
4.704960999999912,0.148,-0.766,0.914,-0.2570063694267516,0.20338324705432437,862.1592210224892,1,6,9,1611.024586,1615.729547
4.538665000000037,0.827,-0.597,1.424,-0.11085054945054948,0.45843052809897455,1562.40794892441,0,7,0,1740.028177,1744.566842
3.429887000000008,0.803,-0.587,1.3900000000000001,0.017607558139534837,0.4857740108260603,3008.156120156842,0,7,1,1744.577919,1748.007806
3.2414810000000216,0.785,-0.59,1.375,-0.04771692307692309,0.4374028171866755,2587.990837085444,0,7,2,1748.016986,1751.258467
3.659392999999909,0.664,-0.61,1.274,-0.09305177111716623,0.4110516784217958,2343.9671502869573,0,7,3,1751.265675,1754.925068
2.6725799999999253,0.698,-0.529,1.2269999999999999,0.10455223880597016,0.40644357738739745,3061.827159669233,0,7,4,1754.935416,1757.607996
3.6836620000001403,0.666,-0.563,1.229,-0.05176422764227642,0.4209246129382897,1896.2742266125251,0,7,5,1757.613502,1761.297164
3.7217010000001665,0.71,-0.507,1.217,-0.020327077747989288,0.41961440264550764,2116.6619357267,0,7,6,1761.305111,1765.026812
3.2714679999999134,0.697,-0.495,1.192,0.0694908536585366,0.39863775648068533,1938.4653071888386,0,7,7,1765.035472,1768.30694
3.6193600000001425,0.776,-0.508,1.284,0.07446280991735534,0.4177010749457525,1997.8527565424945,0,7,8,1768.319022,1771.938382
